CVE_CLPV,CVE_DOC,CVE_VEND,FECHA_ENT,CAN_TOT
      6858,F29699,3.0,2019-09-30 00:00:00,777.1
      6859,F29700,2.0,2019-09-30 00:00:00,180.00000000000003
      4486,F29701,2.0,2019-09-12 00:00:00,1900.5000000000002
      6486,F29702,2.0,2019-09-30 00:00:00,332.76000000000005
      5233,F29703,2.0,2019-09-30 00:00:00,1080.42
      5926,F29704,2.0,2019-09-30 00:00:00,2830.1724000000004
      4802,F29705,2.0,2019-09-30 00:00:00,299.43690000000004
      2325,F29706,5.0,2019-09-30 00:00:00,6737.198200000001
      5926,F29707,2.0,2019-09-30 00:00:00,11190.000000000002
      5493,F29708,,2019-09-30 00:00:00,2700.0
      4563,F29709,2.0,2019-09-30 00:00:00,3662.7586
      5926,F29710,2.0,2019-09-30 00:00:00,5255.25
      6576,F29711,3.0,2019-09-30 00:00:00,3117.4482000000003
      3806,F29712,2.0,2019-09-30 00:00:00,3356.844
      1083,F29713,1.0,2019-09-30 00:00:00,4070.5517000000004
      6322,F29714,2.0,2019-09-30 00:00:00,8143.793100000001
      5926,F29715,2.0,2019-09-30 00:00:00,636.5517000000001
      5881,F29716,3.0,2019-09-30 00:00:00,5570.646500000001
      3455,F29717,3.0,2019-09-30 00:00:00,3713.5948000000003
      5149,F29718,2.0,2019-09-30 00:00:00,871.1551000000001
      1703,F29719,1.0,2019-09-30 00:00:00,50994.00000000001
      6834,F29720,2.0,2019-09-30 00:00:00,1836.2068000000002
      6754,F29721,2.0,2019-09-30 00:00:00,1267.8965
      5926,F29722,2.0,2019-09-30 00:00:00,1724.1379000000002
      6278,F29723,2.0,2019-09-30 00:00:00,431.0344
      5926,F29724,2.0,2019-09-30 00:00:00,623.75
      5926,F29725,2.0,2019-09-30 00:00:00,498.2758
      5598,F29726,2.0,2019-09-30 00:00:00,571.6379000000001
      5523,F29727,2.0,2019-09-30 00:00:00,1288.7931
      5926,F29728,2.0,2019-09-30 00:00:00,344.8275
      5926,F29729,2.0,2019-09-30 00:00:00,258.6206
      5926,F29730,2.0,2019-09-30 00:00:00,650.0
      5926,F29731,2.0,2019-09-30 00:00:00,332.7582
      5926,F29732,2.0,2019-09-30 00:00:00,862.0689000000001
      5926,F29733,2.0,2019-09-30 00:00:00,7512.0
      5438,F29734,1.0,2019-09-27 00:00:00,14495.000000000002
      5418,F29735,2.0,2019-10-02 00:00:00,1014.82
      2385,F29736,4.0,2019-10-02 00:00:00,23266.250000000004
      1965,F29737,2.0,2019-10-02 00:00:00,976.5000000000001
      3846,F29738,3.0,2019-09-30 00:00:00,15085.300000000003
      6760,F29739,2.0,2019-10-02 00:00:00,1164.5271
      4486,F29740,2.0,2019-10-02 00:00:00,2088.0
      6862,F29741,2.0,2019-10-02 00:00:00,224.13600000000002
      3108,F29742,2.0,2019-10-02 00:00:00,225.00000000000003
      4631,F29743,2.0,2019-10-02 00:00:00,1623.0000000000002
      6278,F29744,2.0,2019-09-09 00:00:00,682.7600000000001
      5037,F29745,2.0,2019-10-02 00:00:00,948.5400000000001
      5258,F29746,2.0,2019-10-02 00:00:00,270.1
      5902,F29747,2.0,2019-10-02 00:00:00,237.93240000000003
      3655,F29748,2.0,2019-10-02 00:00:00,258.62
      3655,F29749,2.0,2019-09-17 00:00:00,5420.320000000001
         6,F29750,2.0,2019-10-02 00:00:00,2655.0
      6720,F29751,,2019-10-02 00:00:00,60000.00000000001
      5926,F29752,2.0,2019-10-02 00:00:00,623.73
      6720,F29753,,2019-10-02 00:00:00,60000.00000000001
       251,F29754,3.0,2019-10-04 00:00:00,10500.0
      3610,F29755,4.0,2019-09-25 00:00:00,1000.0000000000001
      3610,F29756,4.0,2019-10-03 00:00:00,1500.0000000000002
      1083,F29757,3.0,2019-10-04 00:00:00,4070.55
      5926,F29758,2.0,2019-10-03 00:00:00,633.96
      4563,F29759,2.0,2019-10-03 00:00:00,3662.7571000000007
      6322,F29760,2.0,2019-09-23 00:00:00,8143.800000000001
      6295,F29763,2.0,2019-10-03 00:00:00,1046.5600000000002
      1429,F29764,4.0,2019-10-03 00:00:00,1490.0000000000002
      5106,F29765,2.0,2019-10-03 00:00:00,460.00000000000006
      6860,F29766,2.0,2019-10-03 00:00:00,420.0862
      5926,F29767,2.0,2019-10-02 00:00:00,448.28000000000003
      2746,F29768,2.0,2019-10-03 00:00:00,2410.2200000000003
      1965,F29769,2.0,2019-10-03 00:00:00,6516.0
      3182,F29770,2.0,2019-10-03 00:00:00,3436.2600000000007
      2385,F29771,4.0,2019-09-03 00:00:00,16000.000000000002
      2265,F29772,2.0,2019-10-03 00:00:00,1701.9
      2265,F29773,2.0,2019-10-03 00:00:00,1015.0400000000001
      2265,F29774,2.0,2019-10-03 00:00:00,1701.9
      5926,F29775,2.0,2019-10-03 00:00:00,284.53000000000003
      4605,F29776,2.0,2019-10-03 00:00:00,1100.3000000000002
      5926,F29777,2.0,2019-10-02 00:00:00,318.4200000000001
      5926,F29778,2.0,2019-10-02 00:00:00,56.71000000000001
      3630,F29779,2.0,2019-10-03 00:00:00,714.0000000000001
      1429,F29780,4.0,2019-10-04 00:00:00,1490.0000000000002
      3610,F29781,4.0,2019-09-25 00:00:00,400.00000000000006
         9,F29782,3.0,2019-10-04 00:00:00,7590.000000000001
      6576,F29783,3.0,2019-09-25 00:00:00,3117.4500000000003
      1053,F29784,3.0,2019-09-26 00:00:00,8686.41
      5926,F29785,2.0,2019-10-04 00:00:00,813.8103000000001
      3063,F29786,2.0,2019-09-12 00:00:00,1889.0200000000002
      6864,F29787,4.0,2019-10-04 00:00:00,2370.0
      5148,F29788,2.0,2019-10-04 00:00:00,3850.0000000000005
      5847,F29789,2.0,2019-10-04 00:00:00,7665.06
      6741,F29790,2.0,2019-09-30 00:00:00,258.62
      6111,F29791,2.0,2019-10-04 00:00:00,449.3
      3806,F29792,2.0,2019-09-24 00:00:00,3356.8444000000004
      5615,F29793,2.0,2019-09-25 00:00:00,789.0000000000001
      6396,F29794,2.0,2019-10-04 00:00:00,813.9200000000001
       161,F29795,4.0,2019-09-26 00:00:00,1054.0
      3545,F29796,4.0,2019-10-04 00:00:00,1236.0
      4649,F29797,2.0,2019-10-04 00:00:00,1140.0
      6865,F29798,2.0,2019-10-04 00:00:00,349.14000000000004
      2901,F29799,2.0,2019-10-04 00:00:00,3430.0
      6426,F29800,2.0,2019-10-04 00:00:00,740.0000000000001
      5068,F29801,2.0,2019-09-13 00:00:00,3572.5
      1159,F29802,,2019-10-04 00:00:00,675.0
      1159,F29803,3.0,2019-10-03 00:00:00,2430.0
      1159,F29804,3.0,2019-10-04 00:00:00,675.0
      3931,F29805,2.0,2019-10-04 00:00:00,784.0
      4776,F29806,2.0,2019-10-04 00:00:00,2203.25
      3610,F29807,4.0,2019-09-25 00:00:00,5600.000000000001
      4766,F29808,2.0,2019-10-04 00:00:00,113.4
      6278,F29809,2.0,2019-09-24 00:00:00,908.6200000000001
